"customer_name","employee_name","order_date","quantity","unit_price","product_name"
Ming-Yang Xie,Nancy Freehafer,"2006-03-24 00:00:00",300.0000,46.0000,Northwind Traders Coffee
Roland Wacker,Nancy Freehafer,"2006-03-24 00:00:00",10.0000,25.0000,Northwind Traders Boysenberry Spread
Roland Wacker,Nancy Freehafer,"2006-03-24 00:00:00",10.0000,22.0000,Northwind Traders Cajun Seasoning
Roland Wacker,Nancy Freehafer,"2006-03-24 00:00:00",10.0000,9.2000,Northwind Traders Chocolate Biscuits Mix
Peter Krschne,Nancy Freehafer,"2006-03-24 00:00:00",20.0000,3.5000,Northwind Traders Dried Plums
Peter Krschne,Nancy Freehafer,"2006-03-24 00:00:00",50.0000,2.9900,Northwind Traders Green Tea
Anna Bedecs,Nancy Freehafer,"2006-03-24 00:00:00",25.0000,18.0000,Northwind Traders Chai
Anna Bedecs,Nancy Freehafer,"2006-03-24 00:00:00",25.0000,46.0000,Northwind Traders Coffee
Anna Bedecs,Nancy Freehafer,"2006-03-24 00:00:00",25.0000,2.9900,Northwind Traders Green Tea
Amritansh Raghav,Nancy Freehafer,"2006-04-07 00:00:00",50.0000,9.6500,Northwind Traders Clam Chowder
Amritansh Raghav,Nancy Freehafer,"2006-04-07 00:00:00",50.0000,18.4000,Northwind Traders Crab Meat
Soo Jung Lee,Nancy Freehafer,"2006-04-05 00:00:00",87.0000,14.0000,Northwind Traders Beer
Roland Wacker,Nancy Freehafer,"2006-05-24 00:00:00",15.0000,3.5000,Northwind Traders Dried Plums
Peter Krschne,Nancy Freehafer,"2006-05-24 00:00:00",20.0000,40.0000,Northwind Traders Curry Sauce
Anna Bedecs,Nancy Freehafer,"2006-05-24 00:00:00",40.0000,18.4000,Northwind Traders Crab Meat
Amritansh Raghav,Nancy Freehafer,"2006-06-07 00:00:00",5.0000,46.0000,Northwind Traders Coffee
Soo Jung Lee,Nancy Freehafer,"2006-06-05 00:00:00",40.0000,39.0000,Northwind Traders Fruit Cocktail
Francisco Pérez-Olaeta,Andrew Cencini,"2006-04-03 00:00:00",10.0000,12.7500,Northwind Traders Chocolate
Francisco Pérez-Olaeta,Andrew Cencini,"2006-06-23 00:00:00",30.0000,30.0000,Northwind Traders Dried Pears
Francisco Pérez-Olaeta,Andrew Cencini,"2006-06-23 00:00:00",30.0000,53.0000,Northwind Traders Dried Apples
Christina Lee,Andrew Cencini,"2006-04-25 17:03:55",10.0000,38.0000,Northwind Traders Gnocchi
Thomas Axen,Andrew Cencini,"2006-04-25 17:26:53",0.0000,2.9900,Northwind Traders Green Tea
Thomas Axen,Andrew Cencini,"2006-04-25 17:26:53",0.0000,38.0000,Northwind Traders Gnocchi
Christina Lee,Jan Kotas,"2006-10-12 00:00:00",10.0000,30.0000,Northwind Traders Dried Pears
